id,inscription,latitude,longitude,country,area,erected,main_photo,colour,organisations,series,series_ref,number_of_subjects,lead_subject_name,lead_subject_born_in,lead_subject_died_in,lead_subject_type,lead_subject_roles,lead_subject_wikipedia,lead_subject_dbpedia,lead_subject_image,subjects
121,Sir Charles Barry 1795-1860 architect lived and died here,51.46206,-0.14572,United Kingdom,London,1950,http://farm9.staticflickr.com/8793/17090489770_6c2513c59c_z.jpg,blue,"[""London County Council""]","",,1,Charles Barry,1795,1860,man,"[""architect"", ""Knight Bachelor""]",https://en.wikipedia.org/wiki/Charles_Barry,http://dbpedia.org/resource/Charles_Barry,https://commons.wikimedia.org/wiki/Special:FilePath/Sir_Charles_Barry_by_John_Prescott_Knight.jpg?width=640,"[""Charles Barry|(1795-1860)|man|architect and Knight Bachelor|""]"
8942,"Jubilee Line Extension In recognition of the numerous features contributing to passenger safety and access on the Jubilee Line Extension, exemplifying the continuous innovation in London's Underground system from its inception in 1863.",51.50484,-0.02088,United Kingdom,London,2002,"",grey,"[""Institution of Mechanical Engineers""]","",,0,"","","","",[],"","","",[]
9850,"Kew Bridge Pumping Station Unique in its approach to the preservation of water pumping equipment, in particular the original installations of five famous Cornish beam engines.",51.489,-0.29018,United Kingdom,London,1997,"",grey,"[""Institution of Mechanical Engineers""]","",,0,"","","","",[],"","","",[]
10003,The King’s Head,,,United Kingdom,London,"","","","[""Harrow Heritage Trust""]","",,0,"","","","",[],"","","",[]
1154,"Marianne Jean-Baptiste 1967  
Camberwell-born actress  
First black British woman to be nominated for an Oscar
born here

",51.47537,-0.0849,United Kingdom,London,2013,http://farm8.staticflickr.com/7366/8726171892_6394949f46_z.jpg,blue,"[""London Borough of Southwark""]","",,1,Marianne Jean-Baptiste,1967,,woman,"[""actress"", ""black British woman to be nominated for an Oscar""]",https://en.wikipedia.org/wiki/Marianne_Jean-Baptiste,http://dbpedia.org/resource/Marianne_Jean-Baptiste,"","[""Marianne Jean-Baptiste|(born in 1967)|woman|actress and black British woman to be nominated for an Oscar|""]"
10015,The British Ballet Organisation founded by Louise Kay and Edouard Espinosa in 1930,51.48623,-0.23789,United Kingdom,London,"","",blue,"[""British Ballet Organisation""]","",,1,British Ballet Organisation,1930,,group,"[""organisation""]",https://en.wikipedia.org/wiki/British_Ballet_Organisation,http://dbpedia.org/resource/British_Ballet_Organisation,"","[""British Ballet Organisation|(formed in 1930)|group|organisation|""]"
10013,Fred Perry 1909-1995 tennis champion played here 1919-1935,51.5289,-0.30825,United Kingdom,London,2011,"",green,"[""Ealing Civic Society"", ""Brentham Club"", ""Brentham Society""]","",,1,Fred Perry,1909,1995,man,"[""tennis player"", ""member of Britain's winning Davis Cup Team"", ""winner of Men's Singles at Wimbledon"", ""Freeman of Stockport Borough""]",https://en.wikipedia.org/wiki/Fred_Perry,http://dbpedia.org/resource/Fred_Perry,https://commons.wikimedia.org/wiki/Special:FilePath/Fred_Perry_01.jpg?width=640,"[""Fred Perry|(1909-1995)|man|tennis player, member of Britain's winning Davis Cup Team, winner of Men's Singles at Wimbledon, and Freeman of Stockport Borough|""]"
10017,John Passmore Edwards 1823-1911,51.5317,-0.0363,United Kingdom,London,"","","","[""London Borough of Tower Hamlets""]","",,1,John Passmore Edwards,1823,1911,man,"[""journalist"", ""editor"", ""builder of free public libraries""]",https://en.wikipedia.org/wiki/John_Passmore_Edwards,http://dbpedia.org/resource/John_Passmore_Edwards,"","[""John Passmore Edwards|(1823-1911)|man|journalist, editor, and builder of free public libraries|""]"
10019,"Honeywood. In the 1880's John Kirk, a merchant, reconstructed a building called Wandle Cottage on this site and transferred the name 'Honeywood' from the neighbouring house, which he demolished. Novelist and philosopher William Henry Hale White (""Mark Rutherford"") lived in Wandle Cottage, 1804-6. A watercourse runs beneath the house.",51.3656,-0.16473,United Kingdom,London,"","",brown,"[""London Borough of Sutton""]","",,2,John Kirk,,,man,"[""merchant""]", , ,"","[""John Kirk||man|merchant|"", ""William Hale White|(1831-1913)|man|novelist and Mark Rutherford|""]"
10016,Co-founder of the RAD and BBO Espinosa 1871-1950 Maitre de Ballet lived and taugh here 1913-1950,51.48624,-0.23782,United Kingdom,London,"","",blue,[],"",,1,Edouard Espinosa,1871,1950,man,"[""founder of the BBO"", ""founder of the RAD"", ""Maitre de Ballet""]",https://en.wikipedia.org/wiki/Edouard_Espinosa,http://dbpedia.org/resource/Edouard_Espinosa,"","[""Edouard Espinosa|(1871-1950)|man|founder of the BBO, founder of the RAD, and Maitre de Ballet|""]"
